id	korean	english	context
273	앉다	to sit	
274	알	egg	
275	야채	vegetable	
276	양	sheep	
277	양치질하다	to brush one's teeth	
278	어디	where	
279	어떻게	how	
280	어렵다	to be difficult	
281	어머니	mother	
282	언니	older sister	female speaker
283	언어	language	
284	얼마	how much	e.g. price
285	없다	to not exist	
286	에스컬레이터	escalator	
287	여기	here	
288	여덟	eight	native
289	여동생	younger sister	
290	여든	eighty	native
291	여섯	six	native
292	여우	fox	
293	여자	woman	
294	연필	pencil	
295	열	ten	native
296	열쇠	key	physical object
297	영국	United Kingdom	
298	영화	movie	
299	영화관	cinema	
300	옆	side	
301	예쁘다	to be pretty	
302	예순	sixty	native
303	오	five	Sino-Korean
304	오늘	today	
305	오다	to come	
306	오렌지색	orange	
307	오리	duck	
308	오빠	older brother	female speaker
309	오이	cucumber	
310	와인	wine	
311	요요	yo-yo	
312	요즘	recently	
313	우리	we	plain
314	우유	milk	
315	우체국	post office	
316	운동	exercise	
317	운동장	sports grounds	
318	워싱턴	Washington	
319	원	won	
320	월요일	Monday	
321	위	top	
322	위험	danger	
323	유월	June	
324	육	six	Sino-Korean
325	은행	bank	
326	음료	beverage	
327	음식	food	
328	의사	doctor	
329	의자	chair	
330	이	this	
331	이	two	Sino-Korean
332	이름	name	
333	이야기하다	to converse	
334	이집트	Egypt	
335	인도	India	
336	일	occurrence	
337	일	one	Sino-Korean
338	일곱	seven	native
339	일년	one year	
340	일번	number one	
341	일본	Japan	
342	일어나다	to get up	
343	일요일	Sunday	
344	일월 일일	January 1	
345	일인분	one serving	
346	일초	one second	
347	일층	ground floor	
348	일하다	to work	
349	일흔	seventy	native
350	읽다	to read	
351	입	mouth	
352	입구	entrance	
353	있다	to exist	
354	잎	leaf	
355	자다	to sleep	
356	자동차	car	
357	작다	to be small	
358	잘	well	
359	잡지	magazine	
360	재미있다	to be interesting	
361	저	I	humble
362	저	that over there	
363	저기	over there	
364	저희	we	polite
365	적다	to be few	
366	전화	telephone	
367	전화하다	to call by telephone	
368	제	my	
369	조금	a little	
370	조심	caution	
371	좋다	to be good	
372	좋아하다	to like	
373	주방	kitchen	
374	주스	juice	
375	줄	line	of people
376	중국	China	
377	쥐	mouse	
378	지갑	wallet	
379	지금	now	
380	지내다	to spend	one's time
381	지하철	subway	
382	집	house	
383	차	tea	Sino-Korean
384	차	vehicle	
385	차갑다	to be cold	objects
386	책	book	
387	책상	desk	
388	처음 뵙겠습니다	nice to meet you	lit. first time seeing you
389	천	thousand	
390	출신	origin	
391	춥다	to be cold	weather
392	친구	friend	
393	칠	seven	Sino-Korean
394	침대	bed	
395	침실	bedroom	
396	카메라	camera	
397	카페	cafe	
398	커피	coffee	
399	컴퓨터	computer	
400	케이크	cake	
401	코끼리	elephant	
402	콜라	coke	
403	크다	to be big	
404	키	key	loan word
405	타다	to ride	
406	탁자	table	
407	태국	Thailand	
408	텔레비전	TV	
409	토끼	rabbit	
410	토마토	tomato	
411	토요일	Saturday	
412	티	tea	loan word
413	파란색	blue	
414	파리	Paris	
415	파티	party	
416	팔	eight	Sino-Korean
417	팔다	to sell	
418	펜	pen	
419	편지	letter	
420	폰	phone	loan word
421	프랑스	France	
422	프린스턴	Princeton	
423	피자	pizza	
424	필라델피아	Philadelphia	
